,13
0,"[(0, 2), (0, 4), (0, 6), (0, 7), (0, 9), (1, 3), (1, 6), (1, 7), (1, 8), (1, 9), (1, 12), (2, 5), (2, 7), (2, 11), (3, 8), (3, 11), (3, 12), (4, 5), (4, 6), (4, 10), (5, 9), (5, 12), (6, 7), (6, 8), (7, 11), (8, 10), (9, 10), (9, 12)]"
1,"[(0, 1), (0, 3), (0, 7), (1, 5), (1, 6), (1, 11), (2, 4), (2, 8), (2, 10), (3, 10), (3, 11), (4, 12), (5, 6), (5, 10), (5, 12), (6, 8), (6, 11), (6, 12), (7, 12), (8, 11)]"
2,"[(0, 2), (0, 4), (0, 5), (1, 2), (1, 12), (2, 11), (3, 5), (3, 9), (3, 10), (4, 5), (4, 6), (4, 7), (4, 10), (5, 6), (5, 12), (6, 7), (6, 8), (6, 12), (7, 8), (7, 9), (8, 11), (9, 10), (9, 11)]"
3,"[(0, 1), (0, 2), (0, 5), (1, 7), (2, 8), (2, 9), (3, 7), (3, 10), (4, 5), (4, 9), (4, 12), (5, 7), (5, 10), (6, 10), (6, 11), (7, 8), (8, 12), (9, 11), (9, 12), (10, 12)]"
4,"[(0, 3), (0, 4), (0, 6), (1, 10), (1, 12), (2, 4), (2, 8), (2, 9), (3, 7), (3, 8), (4, 5), (5, 8), (5, 11), (6, 11), (7, 9), (7, 10), (8, 11), (9, 11), (11, 12)]"
5,"[(0, 7), (0, 10), (0, 11), (0, 12), (1, 2), (1, 7), (1, 8), (1, 12), (2, 7), (2, 8), (2, 9), (3, 8), (3, 9), (3, 10), (3, 11), (4, 5), (4, 9), (4, 10), (4, 12), (5, 6), (5, 7), (5, 8), (6, 11), (7, 10), (8, 9), (9, 11), (10, 12)]"
6,"[(0, 2), (0, 3), (0, 12), (1, 5), (1, 8), (1, 12), (2, 5), (2, 6), (2, 11), (3, 4), (3, 10), (4, 6), (4, 8), (5, 6), (5, 8), (6, 10), (6, 12), (7, 8), (7, 9), (9, 10), (9, 11), (10, 11), (10, 12)]"
7,"[(0, 1), (0, 5), (0, 8), (0, 10), (1, 3), (1, 4), (1, 7), (1, 11), (2, 4), (2, 6), (2, 12), (3, 4), (3, 6), (3, 8), (4, 11), (5, 6), (5, 8), (5, 9), (6, 8), (7, 8), (7, 9), (7, 10), (7, 11), (9, 12), (10, 11), (10, 12)]"
8,"[(0, 4), (0, 5), (0, 8), (0, 10), (1, 5), (1, 10), (1, 11), (1, 12), (2, 3), (2, 7), (2, 8), (2, 9), (3, 4), (3, 6), (4, 7), (5, 7), (5, 11), (6, 9), (6, 11), (7, 9), (7, 12), (8, 11), (9, 10), (9, 11), (10, 12)]"
9,"[(0, 1), (0, 2), (0, 6), (0, 12), (1, 2), (1, 3), (1, 4), (2, 8), (2, 11), (3, 5), (3, 7), (4, 10), (4, 11), (4, 12), (5, 6), (5, 7), (5, 8), (6, 9), (6, 10), (6, 12), (7, 9), (7, 11), (9, 10), (11, 12)]"
10,"[(0, 1), (0, 7), (0, 8), (1, 4), (1, 5), (1, 6), (1, 7), (1, 9), (2, 6), (2, 7), (2, 9), (2, 11), (2, 12), (3, 4), (3, 6), (3, 10), (4, 9), (5, 8), (5, 11), (6, 7), (6, 10), (7, 12), (8, 9), (8, 12), (10, 12)]"
11,"[(0, 2), (0, 8), (0, 10), (0, 11), (0, 12), (1, 2), (1, 4), (1, 11), (2, 3), (2, 8), (3, 5), (3, 7), (3, 9), (4, 5), (4, 7), (4, 10), (5, 9), (5, 12), (6, 8), (6, 9), (6, 10), (7, 8), (8, 10), (9, 11)]"
12,"[(0, 1), (0, 4), (0, 6), (0, 10), (1, 2), (1, 3), (1, 10), (2, 6), (2, 9), (3, 4), (3, 5), (3, 11), (4, 5), (4, 7), (4, 9), (5, 8), (5, 10), (5, 11), (6, 9), (6, 11), (7, 8), (8, 10), (8, 11), (8, 12), (9, 12), (11, 12)]"
13,"[(0, 3), (0, 7), (0, 9), (0, 12), (1, 5), (1, 9), (1, 10), (1, 12), (2, 4), (2, 5), (2, 7), (2, 8), (2, 10), (3, 5), (3, 9), (4, 8), (4, 9), (4, 12), (5, 11), (6, 8), (6, 10), (6, 11), (7, 9), (7, 10), (11, 12)]"
14,"[(0, 1), (0, 2), (0, 9), (0, 11), (1, 3), (1, 10), (1, 11), (2, 3), (2, 5), (2, 9), (3, 4), (3, 5), (3, 7), (4, 6), (4, 10), (4, 11), (5, 6), (5, 11), (6, 7), (6, 10), (6, 12), (7, 8), (7, 12), (8, 9), (8, 10), (11, 12)]"
15,"[(0, 8), (0, 9), (0, 10), (0, 11), (1, 3), (1, 4), (1, 10), (2, 6), (2, 9), (2, 10), (2, 11), (3, 5), (3, 7), (3, 9), (4, 7), (4, 10), (4, 11), (5, 9), (5, 11), (5, 12), (6, 7), (6, 8), (6, 11), (7, 12), (8, 9), (10, 12)]"
16,"[(0, 3), (0, 8), (0, 10), (0, 11), (1, 4), (1, 5), (1, 7), (2, 3), (2, 5), (2, 8), (2, 10), (3, 4), (3, 5), (4, 9), (5, 7), (5, 12), (6, 7), (6, 11), (8, 9), (8, 12), (9, 10), (9, 12), (10, 11)]"
17,"[(0, 2), (0, 3), (0, 8), (0, 12), (1, 4), (1, 5), (1, 11), (2, 3), (2, 4), (2, 7), (3, 5), (3, 6), (3, 10), (4, 6), (4, 8), (4, 9), (5, 10), (5, 12), (6, 7), (6, 8), (6, 9), (7, 11), (8, 9), (9, 10), (9, 12), (11, 12)]"
18,"[(0, 1), (0, 2), (0, 4), (0, 6), (1, 7), (1, 8), (2, 3), (2, 5), (2, 9), (3, 8), (3, 9), (3, 10), (3, 12), (4, 6), (4, 7), (5, 6), (5, 10), (5, 11), (6, 9), (6, 11), (7, 12), (8, 9), (8, 11), (10, 12)]"
19,"[(0, 5), (0, 7), (0, 9), (1, 2), (1, 9), (1, 11), (2, 6), (2, 9), (3, 4), (3, 6), (4, 7), (4, 10), (5, 6), (5, 8), (5, 9), (5, 10), (7, 10), (7, 11), (8, 11), (8, 12), (10, 12)]"
20,"[(0, 1), (0, 2), (0, 5), (0, 10), (1, 4), (1, 8), (2, 3), (2, 9), (3, 12), (4, 6), (4, 7), (4, 8), (5, 7), (5, 12), (6, 11), (7, 9), (7, 11), (8, 10), (8, 12), (9, 10), (10, 11), (10, 12)]"
21,"[(0, 2), (0, 9), (0, 11), (0, 12), (1, 2), (1, 3), (1, 4), (2, 8), (2, 9), (3, 4), (3, 5), (3, 11), (4, 8), (4, 10), (5, 7), (6, 7), (6, 9), (6, 11), (7, 10), (7, 12), (8, 11), (11, 12)]"
22,"[(0, 2), (0, 4), (0, 6), (0, 8), (0, 9), (0, 10), (1, 7), (1, 9), (1, 10), (2, 7), (2, 9), (2, 12), (3, 5), (3, 10), (3, 11), (3, 12), (4, 6), (4, 8), (4, 12), (5, 7), (5, 8), (5, 10), (5, 11), (6, 7), (6, 11), (7, 8), (8, 9)]"
23,"[(0, 3), (0, 7), (1, 2), (1, 3), (1, 11), (1, 12), (2, 6), (2, 12), (4, 5), (4, 6), (4, 7), (4, 10), (5, 11), (5, 12), (6, 10), (6, 11), (7, 8), (7, 10), (8, 9), (8, 12), (9, 10), (9, 11), (9, 12)]"
24,"[(0, 3), (0, 7), (0, 8), (0, 12), (1, 2), (1, 3), (1, 4), (1, 7), (1, 9), (1, 10), (2, 3), (2, 6), (2, 10), (3, 4), (4, 11), (5, 6), (5, 7), (6, 8), (6, 9), (7, 8), (8, 10), (9, 11), (10, 12), (11, 12)]"
25,"[(0, 3), (0, 6), (0, 8), (0, 9), (0, 12), (1, 4), (1, 7), (1, 9), (1, 11), (2, 3), (2, 10), (2, 11), (2, 12), (3, 5), (4, 8), (4, 9), (5, 6), (5, 7), (5, 11), (6, 9), (6, 10), (6, 11), (8, 10), (8, 12)]"
26,"[(0, 4), (0, 8), (0, 11), (1, 5), (1, 10), (1, 12), (2, 9), (2, 10), (3, 5), (3, 7), (3, 8), (3, 12), (4, 6), (4, 8), (4, 10), (5, 6), (5, 7), (6, 10), (7, 11), (8, 9), (9, 11), (9, 12), (10, 11)]"
27,"[(0, 1), (0, 2), (0, 3), (0, 6), (1, 3), (1, 4), (1, 7), (2, 5), (2, 8), (2, 9), (2, 12), (3, 11), (4, 9), (4, 10), (4, 11), (5, 10), (5, 12), (6, 8), (7, 8), (7, 12), (8, 10), (9, 12), (10, 11)]"
28,"[(0, 1), (0, 2), (0, 3), (0, 10), (1, 2), (1, 6), (1, 7), (1, 9), (2, 5), (2, 10), (3, 9), (3, 10), (3, 12), (4, 6), (4, 7), (4, 8), (4, 9), (4, 12), (5, 6), (6, 11), (7, 12), (8, 9), (8, 11), (9, 10), (10, 11)]"
29,"[(0, 3), (0, 4), (0, 9), (0, 11), (1, 2), (1, 6), (1, 9), (1, 12), (2, 7), (3, 4), (3, 8), (3, 10), (3, 12), (4, 5), (4, 8), (5, 6), (5, 12), (6, 7), (6, 8), (6, 10), (7, 8), (7, 11), (8, 10), (9, 10), (9, 12)]"
30,"[(0, 4), (0, 7), (0, 10), (1, 3), (1, 10), (1, 11), (2, 3), (2, 5), (2, 8), (2, 10), (3, 8), (3, 11), (4, 6), (4, 7), (4, 8), (5, 6), (5, 11), (6, 9), (6, 11), (6, 12), (7, 9), (9, 12), (10, 12), (11, 12)]"
31,"[(0, 1), (1, 3), (1, 6), (1, 9), (2, 4), (2, 6), (2, 9), (3, 4), (3, 8), (3, 11), (4, 9), (5, 10), (5, 11), (5, 12), (6, 7), (6, 12), (7, 8), (7, 12), (8, 10), (9, 10), (10, 12)]"
32,"[(0, 3), (0, 9), (1, 4), (1, 5), (1, 6), (1, 7), (1, 11), (2, 3), (2, 7), (3, 8), (3, 10), (4, 5), (4, 8), (4, 9), (5, 11), (5, 12), (6, 8), (6, 12), (7, 8), (7, 11), (10, 11), (10, 12)]"
33,"[(0, 1), (0, 4), (0, 6), (0, 11), (1, 2), (1, 3), (1, 8), (1, 9), (2, 10), (2, 11), (3, 5), (3, 8), (3, 9), (4, 5), (4, 6), (4, 8), (5, 8), (5, 10), (6, 7), (7, 8), (7, 12), (9, 12), (10, 12)]"
34,"[(0, 4), (0, 5), (0, 8), (0, 10), (1, 6), (1, 9), (2, 3), (2, 9), (2, 11), (3, 5), (3, 12), (4, 7), (4, 11), (5, 7), (5, 8), (5, 9), (5, 12), (6, 7), (6, 8), (6, 11), (7, 9), (7, 11), (8, 10), (8, 11), (10, 12)]"
35,"[(0, 2), (0, 3), (0, 6), (0, 8), (1, 2), (1, 5), (1, 7), (1, 8), (1, 9), (2, 11), (3, 10), (5, 10), (5, 12), (6, 9), (6, 11), (7, 8), (7, 11), (7, 12), (9, 11), (9, 12)]"
36,"[(0, 1), (0, 2), (0, 4), (0, 6), (1, 3), (2, 3), (2, 5), (2, 9), (2, 12), (3, 11), (4, 6), (4, 9), (4, 12), (5, 6), (5, 12), (6, 7), (6, 10), (7, 8), (7, 9), (8, 11), (9, 12), (10, 11), (11, 12)]"
37,"[(0, 1), (0, 5), (0, 9), (0, 12), (1, 2), (2, 6), (2, 9), (3, 4), (3, 9), (3, 12), (4, 7), (4, 8), (5, 6), (5, 8), (5, 10), (6, 7), (6, 11), (7, 11), (8, 10), (8, 11), (9, 11), (10, 12), (11, 12)]"
38,"[(0, 5), (0, 6), (0, 7), (0, 9), (1, 8), (1, 10), (2, 7), (2, 8), (2, 9), (3, 5), (3, 6), (3, 10), (3, 11), (4, 5), (4, 7), (4, 10), (4, 12), (5, 6), (5, 8), (5, 11), (6, 12), (7, 11), (8, 11), (9, 10), (9, 12), (10, 12)]"
39,"[(0, 9), (0, 10), (0, 11), (1, 3), (1, 4), (1, 10), (1, 11), (2, 5), (2, 6), (3, 8), (3, 11), (3, 12), (4, 7), (4, 10), (5, 9), (5, 12), (6, 10), (7, 8), (7, 9), (8, 10), (9, 11)]"
40,"[(0, 1), (0, 8), (0, 9), (1, 7), (1, 11), (2, 7), (2, 9), (2, 10), (2, 11), (2, 12), (3, 4), (3, 5), (3, 7), (3, 12), (4, 6), (4, 9), (4, 11), (5, 9), (6, 12)]"
41,"[(0, 3), (0, 6), (0, 7), (0, 10), (1, 4), (1, 5), (1, 7), (2, 5), (2, 9), (2, 12), (3, 4), (3, 5), (3, 10), (3, 12), (4, 8), (4, 11), (5, 10), (5, 12), (6, 8), (6, 10), (7, 9), (8, 9), (8, 12), (10, 11), (10, 12)]"
42,"[(0, 1), (0, 6), (0, 10), (1, 4), (1, 5), (1, 8), (1, 10), (1, 11), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 8), (3, 12), (4, 5), (4, 11), (6, 8), (6, 9), (7, 9), (7, 12), (8, 11), (9, 11), (9, 12), (10, 12)]"
43,"[(0, 1), (0, 2), (0, 4), (0, 6), (1, 8), (1, 9), (2, 3), (2, 11), (3, 7), (3, 8), (4, 6), (4, 7), (4, 10), (5, 6), (5, 8), (5, 11), (6, 12), (7, 9), (7, 12), (8, 9), (8, 10)]"
44,"[(0, 4), (0, 6), (0, 8), (0, 10), (1, 8), (1, 9), (1, 10), (2, 3), (2, 6), (2, 7), (3, 11), (3, 12), (4, 6), (4, 7), (5, 6), (5, 10), (5, 12), (6, 10), (7, 9), (7, 11), (9, 11), (10, 11)]"
45,"[(0, 6), (0, 8), (0, 10), (0, 11), (1, 3), (1, 5), (1, 9), (1, 11), (1, 12), (2, 4), (2, 10), (3, 4), (3, 7), (4, 5), (4, 9), (5, 6), (5, 8), (6, 7), (7, 11), (8, 9), (8, 10), (9, 10), (9, 11)]"
46,"[(0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 11), (2, 3), (2, 4), (2, 10), (2, 12), (3, 9), (4, 12), (5, 6), (5, 7), (5, 8), (6, 7), (6, 10), (6, 11), (7, 8), (7, 12), (8, 9), (9, 11)]"
47,"[(0, 2), (0, 3), (0, 5), (0, 9), (1, 4), (1, 7), (2, 3), (2, 7), (2, 9), (2, 12), (3, 4), (4, 8), (4, 11), (5, 7), (5, 11), (6, 9), (6, 10), (6, 11), (6, 12), (7, 12), (8, 10), (8, 12), (9, 11), (11, 12)]"
48,"[(0, 1), (0, 2), (0, 6), (0, 10), (1, 3), (1, 5), (1, 6), (2, 3), (2, 8), (2, 11), (3, 8), (3, 9), (3, 11), (4, 5), (4, 7), (4, 11), (4, 12), (6, 7), (6, 10), (6, 12), (7, 10), (8, 9), (8, 12), (9, 10)]"
